champ,winrate
Nunu,0.4813772580306783
Kha'Zix,0.4831861506723513
Graves,0.5351105568706956
Lee Sin,0.49454361292552174
Jax,0.5309313520916507
Rengar,0.48755340652528323
Amumu,0.5530020444952866
Kayn,0.4985789403744683
Yasuo,0.5139779109699149
Warwick,0.46915646867920263
Kindred,0.4866850129764461
Wukong,0.5096788470072448
Pyke,0.4652323862736298
Master Yi,0.49234612310790166
Gragas,0.5174557210396298
Kai'Sa,0.5158172375516946
Cho'Gath,0.5134551089114001
Vi,0.4883956152032882
Udyr,0.493658766539233
Malphite,0.5217618749005414
Hecarim,0.47433323780800857
Evelynn,0.46603829835765914
Teemo,0.4724997387073757
Garen,0.5106287572260836
Dr. Mundo,0.5432045346442529
Jarvan IV,0.5203959371143155
Maokai,0.5502341768229205
Shaco,0.4623816568012721
Poppy,0.5333284208933022
Twitch,0.5008959390607348
Akali,0.39774147269707366
Nocturne,0.46126169762373975
Taric,0.5378268774047685
Darius,0.4987151248129131
Tryndamere,0.5059551430702436
Karthus,0.5808189337349797
Ivern,0.44974051497465606
Aatrox,0.4846201064336377
Nidalee,0.47980493405088936
Rammus,0.4936449806623224
Shyvana,0.4770916334955183
Riven,0.517079540505592
Diana,0.5239891857005486
Xayah,0.5032802249837267
Pantheon,0.48535344331975144
Zac,0.485367153268848
Volibear,0.5173877413304407
Ekko,0.5185248094252528
Sejuani,0.4743091775868663
Trundle,0.49779207812675036
Brand,0.5872933211867596
Irelia,0.47417267407047153
Sion,0.5464954892245619
Lucian,0.5071348749672482
Camille,0.4751340206505017
Vayne,0.5213922594461022
Nautilus,0.5197062790391425
Taliyah,0.5271262310002387
Skarner,0.4946028898607442
Miss Fortune,0.5010017767411256
Nasus,0.47075940382952464
Jhin,0.5015830299705559
Lulu,0.4922586858025779
Morgana,0.530192074286061
Thresh,0.4870324662732865
Fizz,0.49410338363257295
Zed,0.47842381774816123
Jinx,0.511073718670017
Ezreal,0.48554514864128473
Lux,0.5180966168715332
Blitzcrank,0.4584261616879774
Talon,0.4633396865183011
Fiddlesticks,0.5024189980979485
Mordekaiser,0.5013581190230032
Singed,0.5280183180806828
Bard,0.4718278115862067
Shen,0.48179504491949293
Quinn,0.4607518648139111
Alistar,0.5371504295107385
Elise,0.49389505080939505
Renekton,0.4947948295419887
Rumble,0.5316669631807509
Kled,0.5062758839988531
Ornn,0.4956327819767703
Veigar,0.49667621780441246
Illaoi,0.49749081690568603
Zilean,0.5077372004350518
Ashe,0.4630688494315033
Heimerdinger,0.4888929911836194
Leona,0.51742954354696
Rakan,0.5065204697936159
Zyra,0.5345612992879116
Kog'Maw,0.5599246123594619
Tahm Kench,0.4788273615495765
Ziggs,0.5092116917407441
Tristana,0.493274416818442
Fiora,0.4791914387529727
Sona,0.5275563258617849
Karma,0.5001942124936881
Zoe,0.4488254400240954
Gangplank,0.47527286420669945
Braum,0.4877920437576297
Varus,0.4761361041879425
Caitlyn,0.46779061299927127
Rek'Sai,0.46604394764336593
Ryze,0.4693620844840972
Malzahar,0.5149121249736376
Orianna,0.5334380424849137
Ahri,0.4988662131697961
Katarina,0.4511313937721052
Draven,0.46721393533256594
Swain,0.5021478039377577
Xin Zhao,0.47827864280261856
Azir,0.45830014799499363
Gnar,0.45783872284742133
Janna,0.5127870989027528
Nami,0.5242832066239028
Kalista,0.4935111322697941
Soraka,0.49131378936549963
Kassadin,0.4918152055098825
Jayce,0.4983986203096824
Aurelion Sol,0.4858826754461351
Kennen,0.4884428223156933
Anivia,0.5281359905904165
Kayle,0.5540855700583893
Vel'Koz,0.5167937909740401
Yorick,0.4951071145255222
Xerath,0.49511465601615173
Cassiopeia,0.5344267896931489
Urgot,0.5113450531861202
Syndra,0.49348743348945173
Sivir,0.4863058363104011
Lissandra,0.48113646956753614
Galio,0.5087294378291114
Viktor,0.5096655415575334
Corki,0.47250970255756775
LeBlanc,0.4666666666900694
Vladimir,0.47935400987538995
Twisted Fate,0.488251654343052
Olaf,0.4758468759670828
